,centro,comunidad,especialidad,localidad,plazas
636,H. GENERAL DE CASTELLÓN,VALENCIA,NEUROLOGÍA,CASTELLÓN,1
637,H. GENERAL DE CASTELLÓN,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,CASTELLÓN,2
638,H. GENERAL DE CASTELLÓN,VALENCIA,OFTALMOLOGÍA,CASTELLÓN,1
639,H. GENERAL DE CASTELLÓN,VALENCIA,OTORRINOLARINGOLOGÍA,CASTELLÓN,1
640,H. GENERAL DE CASTELLÓN,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,CASTELLÓN,4
641,H. GENERAL DE CASTELLÓN,VALENCIA,PSIQUIATRÍA,CASTELLÓN,3
642,H. GENERAL DE CASTELLÓN,VALENCIA,RADIODIAGNÓSTICO,CASTELLÓN,2
643,H. GENERAL DE CASTELLÓN,VALENCIA,UROLOGÍA,CASTELLÓN,1
644,H. GENERAL DE ELDA,VALENCIA,ANESTESIOLOGÍA Y REANIMACIÓN,ELDA,1
645,H. GENERAL DE ELDA,VALENCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,ELDA,1
646,H. GENERAL DE ELDA,VALENCIA,MEDICINA FÍSICA Y REHABILITACIÓN,ELDA,1
647,H. GENERAL DE ELDA,VALENCIA,MEDICINA INTERNA,ELDA,2
648,H. GENERAL DE ELDA,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,ELDA,2
649,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,ALERGOLOGÍA,ALICANTE,1
650,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,ANATOMÍA PATOLÓGICA,ALICANTE,1
651,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,ANESTESIOLOGÍA Y REANIMACIÓN,ALICANTE,4
652,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,APARATO DIGESTIVO,ALICANTE,2
653,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,CARDIOLOGÍA,ALICANTE,2
654,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,ALICANTE,2
655,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,ALICANTE,2
656,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,CIRUGÍA PEDIÁTRICA,ALICANTE,1
657,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,CIRUGÍA PLÁSTICA ESTÉTICA Y REPARADORA,ALICANTE,1
658,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,CIRUGÍA TORÁCICA,ALICANTE,1
659,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,ALICANTE,2
660,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,ENDOCRINOLOGÍA Y NUTRICIÓN,ALICANTE,1
661,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,FARMACOLOGÍA CLÍNICA,ALICANTE,1
662,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,HEMATOLOGÍA Y HEMOTERAPIA,ALICANTE,2
663,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,MEDICINA FÍSICA Y REHABILITACIÓN,ALICANTE,1
664,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,MEDICINA INTENSIVA,ALICANTE,3
665,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,MEDICINA INTERNA,ALICANTE,2
666,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,MICROBIOLOGÍA Y PARASITOLOGÍA,ALICANTE,1
667,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,NEFROLOGÍA,ALICANTE,2
668,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,NEUMOLOGÍA,ALICANTE,2
669,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,NEUROCIRUGÍA,ALICANTE,1
670,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,NEUROFISIOLOGÍA CLÍNICA,ALICANTE,1
671,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,NEUROLOGÍA,ALICANTE,2
672,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,ALICANTE,3
673,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,OFTALMOLOGÍA,ALICANTE,2
674,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,OTORRINOLARINGOLOGÍA,ALICANTE,1
675,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,ALICANTE,5
676,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,RADIODIAGNÓSTICO,ALICANTE,3
677,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,REUMATOLOGÍA,ALICANTE,1
678,H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,UROLOGÍA,ALICANTE,1
679,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,ANATOMÍA PATOLÓGICA,ELCHE,1
680,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,ANESTESIOLOGÍA Y REANIMACIÓN,ELCHE,3
681,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,APARATO DIGESTIVO,ELCHE,1
682,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,CARDIOLOGÍA,ELCHE,1
683,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,ELCHE,2
684,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,ELCHE,2
685,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,MEDICINA INTENSIVA,ELCHE,1
686,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,MEDICINA INTERNA,ELCHE,2
687,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,NEUROLOGÍA,ELCHE,1
688,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,ELCHE,2
689,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,OFTALMOLOGÍA,ELCHE,1
690,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,ONCOLOGÍA MÉDICA,ELCHE,2
691,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,ELCHE,3
692,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,PSIQUIATRÍA,ELCHE,2
693,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,RADIODIAGNÓSTICO,ELCHE,1
694,H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,UROLOGÍA,ELCHE,1
695,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,ANATOMÍA PATOLÓGICA,VALENCIA,2
696,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,ANESTESIOLOGÍA Y REANIMACIÓN,VALENCIA,4
697,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,APARATO DIGESTIVO,VALENCIA,2
698,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,CARDIOLOGÍA,VALENCIA,2
699,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,CIRUGÍA CARDIOVASCULAR,VALENCIA,1
700,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,VALENCIA,2
701,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,VALENCIA,2
702,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,CIRUGÍA TORÁCICA,VALENCIA,1
703,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,VALENCIA,2
704,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,ENDOCRINOLOGÍA Y NUTRICIÓN,VALENCIA,1
705,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,HEMATOLOGÍA Y HEMOTERAPIA,VALENCIA,1
706,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,MEDICINA FÍSICA Y REHABILITACIÓN,VALENCIA,1
707,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,MEDICINA INTERNA,VALENCIA,3
708,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,MICROBIOLOGÍA Y PARASITOLOGÍA,VALENCIA,1
709,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,NEFROLOGÍA,VALENCIA,1
710,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,NEUMOLOGÍA,VALENCIA,1
711,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,NEUROCIRUGÍA,VALENCIA,1
712,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,NEUROLOGÍA,VALENCIA,1
713,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,VALENCIA,2
714,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,OFTALMOLOGÍA,VALENCIA,1
715,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,ONCOLOGÍA MÉDICA,VALENCIA,2
716,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,OTORRINOLARINGOLOGÍA,VALENCIA,1
717,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,VALENCIA,2
718,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,PSIQUIATRÍA,VALENCIA,2
719,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,RADIODIAGNÓSTICO,VALENCIA,2
720,H. GENERAL UNIVERSITARIO DE VALENCIA,VALENCIA,UROLOGÍA,VALENCIA,1
721,H. LLUIS ALCANYIS,VALENCIA,ANESTESIOLOGÍA Y REANIMACIÓN,XÁTIVA,1
722,H. LLUIS ALCANYIS,VALENCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,XÁTIVA,1
723,H. LLUIS ALCANYIS,VALENCIA,OFTALMOLOGÍA,XÁTIVA,1
724,H. LLUIS ALCANYIS,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,XÁTIVA,1
725,H. LLUIS ALCANYIS,VALENCIA,PSIQUIATRÍA,XÁTIVA,1
726,H. MARINA BAIXA,VALENCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,VILLAJOYOSA,1
727,H. MARINA BAIXA,VALENCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,VILLAJOYOSA,1
728,H. MARINA BAIXA,VALENCIA,MEDICINA INTENSIVA,VILLAJOYOSA,1
729,H. MARINA BAIXA,VALENCIA,MEDICINA INTERNA,VILLAJOYOSA,1
730,H. MARINA BAIXA,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,VILLAJOYOSA,2
731,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,ALERGOLOGÍA,VALENCIA,1
732,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,ANÁLISIS CLÍNICOS,VALENCIA,1
733,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,ANATOMÍA PATOLÓGICA,VALENCIA,2
734,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,ANESTESIOLOGÍA Y REANIMACIÓN,VALENCIA,9
735,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,ANGIOLOGÍA Y CIRUGÍA VASCULAR,VALENCIA,1
736,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,APARATO DIGESTIVO,VALENCIA,3
737,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,CARDIOLOGÍA,VALENCIA,2
738,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,VALENCIA,3
739,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,CIRUGÍA ORAL Y MAXILOFACIAL,VALENCIA,1
740,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,VALENCIA,4
741,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,CIRUGÍA PEDIÁTRICA,VALENCIA,1
742,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,CIRUGÍA PLÁSTICA ESTÉTICA Y REPARADORA,VALENCIA,2
743,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,CIRUGÍA TORÁCICA,VALENCIA,1
744,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,VALENCIA,1
745,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,ENDOCRINOLOGÍA Y NUTRICIÓN,VALENCIA,1
746,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,HEMATOLOGÍA Y HEMOTERAPIA,VALENCIA,3
747,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,MEDICINA FÍSICA Y REHABILITACIÓN,VALENCIA,3
748,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,MEDICINA INTENSIVA,VALENCIA,3
749,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,MEDICINA INTERNA,VALENCIA,3
750,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,MEDICINA NUCLEAR,VALENCIA,1
751,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,NEFROLOGÍA,VALENCIA,2
752,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,NEUMOLOGÍA,VALENCIA,3
753,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,NEUROCIRUGÍA,VALENCIA,1
754,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,NEUROFISIOLOGÍA CLÍNICA,VALENCIA,1
755,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,NEUROLOGÍA,VALENCIA,2
756,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,VALENCIA,5
757,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,OFTALMOLOGÍA,VALENCIA,3
758,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,ONCOLOGÍA MÉDICA,VALENCIA,2
759,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,ONCOLOGÍA RADIOTERÁPICA,VALENCIA,1
760,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,OTORRINOLARINGOLOGÍA,VALENCIA,2
761,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,VALENCIA,12
762,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,RADIODIAGNÓSTICO,VALENCIA,4
763,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,REUMATOLOGÍA,VALENCIA,1
764,H. UNIVERSITARI I POLITECNIC LA FE,VALENCIA,UROLOGÍA,VALENCIA,2
765,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,ANESTESIOLOGÍA Y REANIMACIÓN,SANT JOAN DE ALICANTE,1
766,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,CARDIOLOGÍA,SANT JOAN DE ALICANTE,2
767,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,SANT JOAN DE ALICANTE,2
768,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,SANT JOAN DE ALICANTE,1
769,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,SANT JOAN DE ALICANTE,1
770,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,MEDICINA INTENSIVA,SANT JOAN DE ALICANTE,1
771,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,MEDICINA INTERNA,SANT JOAN DE ALICANTE,2
772,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,MEDICINA NUCLEAR,SANT JOAN DE ALICANTE,1
773,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,NEUMOLOGÍA,SANT JOAN DE ALICANTE,1
774,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,SANT JOAN DE ALICANTE,2
775,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,OFTALMOLOGÍA,SANT JOAN DE ALICANTE,2
776,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,ONCOLOGÍA MÉDICA,SANT JOAN DE ALICANTE,1
777,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,ONCOLOGÍA RADIOTERÁPICA,SANT JOAN DE ALICANTE,1
778,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,SANT JOAN DE ALICANTE,2
779,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,PSIQUIATRÍA,SANT JOAN DE ALICANTE,2
780,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,RADIODIAGNÓSTICO,SANT JOAN DE ALICANTE,1
781,H. UNIVERSITARIO DE SANT JOAN,VALENCIA,UROLOGÍA,SANT JOAN DE ALICANTE,1
782,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,ALERGOLOGÍA,VALENCIA,1
783,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,ANATOMÍA PATOLÓGICA,VALENCIA,1
784,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,ANESTESIOLOGÍA Y REANIMACIÓN,VALENCIA,3
785,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,ANGIOLOGÍA Y CIRUGÍA VASCULAR,VALENCIA,1
786,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,APARATO DIGESTIVO,VALENCIA,1
787,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,CARDIOLOGÍA,VALENCIA,2
788,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,VALENCIA,1
789,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,VALENCIA,3
790,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,VALENCIA,1
791,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,ENDOCRINOLOGÍA Y NUTRICIÓN,VALENCIA,1
792,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,HEMATOLOGÍA Y HEMOTERAPIA,VALENCIA,1
793,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,MEDICINA FÍSICA Y REHABILITACIÓN,VALENCIA,1
794,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,MEDICINA INTENSIVA,VALENCIA,2
795,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,MEDICINA INTERNA,VALENCIA,1
796,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,MEDICINA NUCLEAR,VALENCIA,1
797,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,NEFROLOGÍA,VALENCIA,1
798,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,NEUMOLOGÍA,VALENCIA,2
799,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,NEUROFISIOLOGÍA CLÍNICA,VALENCIA,1
800,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,NEUROLOGÍA,VALENCIA,1
801,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,VALENCIA,2
802,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,OFTALMOLOGÍA,VALENCIA,2
803,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,ONCOLOGÍA MÉDICA,VALENCIA,1
804,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,OTORRINOLARINGOLOGÍA,VALENCIA,1
805,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,VALENCIA,3
806,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,PSIQUIATRÍA,VALENCIA,2
807,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,RADIODIAGNÓSTICO,VALENCIA,4
808,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,REUMATOLOGÍA,VALENCIA,1
809,H. UNIVERSITARIO DOCTOR PESET,VALENCIA,UROLOGÍA,VALENCIA,1
810,H. VIRGEN DE LOS LIRIOS DE ALCOY,VALENCIA,ANÁLISIS CLÍNICOS,ALCOY,1
811,H. VIRGEN DE LOS LIRIOS DE ALCOY,VALENCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,ALCOY,1
812,UDM AFYC CASTELLÓN,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,CASTELLÓN,14
813,UDM AFYC CASTELLÓN. VINARÓS,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,CASTELLÓN,8
814,UDM AFYC DE ALICANTE. ALICANTE,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,ALICANTE,10
815,UDM AFYC DE ALICANTE. ALCOY,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,ALICANTE,7
816,UDM AFYC DE ALICANTE. DENIA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,ALICANTE,7
817,UDM AFYC DE ALICANTE. ELCHE,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,ALICANTE,8
818,UDM AFYC DE ALICANTE. ELDA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,ALICANTE,9
819,UDM AFYC DE ALICANTE. ORIHUELA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,ALICANTE,8
820,UDM AFYC DE ALICANTE. SANT JOAN,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,ALICANTE,9
821,UDM AFYC DE ALICANTE. TORREVIEJA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,ALICANTE,2
822,UDM AFYC DE ALICANTE. VILLAJOIOSA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,ALICANTE,7
823,UDM AFYC DE VALENCIA GANDÍA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,8
824,UDM AFYC DE VALENCIA . ALZIRA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,4
825,UDM AFYC DE VALENCIA . XÁTIVA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,8
826,UDM AFYC DE VALENCIA CLINICO,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,8
827,UDM AFYC DE VALENCIA. ARNAU DE VILANOVA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,10
828,UDM AFYC DE VALENCIA. DR PESET,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,8
829,UDM AFYC DE VALENCIA. HOSPITAL GENERAL,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,8
830,UDM AFYC DE VALENCIA. LA FÉ,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,8
831,UDM AFYC DE VALENCIA. REQUENA,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,4
832,UDM AFYC DE VALENCIA. SAGUNTO,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,VALENCIA,8
833,UDM AFYC. VILA-REAL,VALENCIA,MEDICINA FAMILIAR Y COMUNITARIA,CASTELLÓN,10
834,UDM OBSTETRICIA Y GINECOLOGÍA DEL H. DE TORREVIEJA DR. MANUEL GARCÍA GEA,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,TORREVIEJA,1
835,UDM OBSTETRICIA Y GINECOLOGÍA DEPARTAMENTO DE DENIA,VALENCIA,OBSTETRICIA Y GINECOLOGÍA,DENIA,1
836,UDM SALUD LABORAL C. VALENCIANA H. GRAL. DE CASTELLÓN,VALENCIA,MEDICINA DEL TRABAJO,CASTELLÓN,1
837,UDM SALUD LABORAL C. VALENCIANA H. UNIVERSITARIO DR. PESET,VALENCIA,MEDICINA DEL TRABAJO,VALENCIA,1
838,UDM SALUD LABORAL C. VALENCIANA H.U. I POLITÉCNIC LA FÉ,VALENCIA,MEDICINA DEL TRABAJO,VALENCIA,1
839,UDM SALUD LABORAL C. VALENCIANA. H. CLINIC I UNIV. DE VALENCIA,VALENCIA,MEDICINA DEL TRABAJO,VALENCIA,1
840,UDM SALUD LABORAL C. VALENCIANA. H. LLUIS ALCANYIS DE XÁTIVA,VALENCIA,MEDICINA DEL TRABAJO,XÁTIVA,1
841,UDM SALUD LABORAL C.VALENCIANA. H. GRAL DE ALICANTE,VALENCIA,MEDICINA DEL TRABAJO,ALICANTE,1
842,UDM SALUD MENTAL DEL H.U I POLITECNIC LA FÉ - DPTO. DE SALUD DE VALENCIA - LA FÉ,VALENCIA,PSIQUIATRÍA,VALENCIA,3
843,UDM SALUD MENTAL H. GENERAL DE ELDA,VALENCIA,PSIQUIATRÍA,ELDA,1
844,UDMPYSP DEL DEPARTAMENTO DE VALENCIA-CLÍNICO-MALVARROSA,VALENCIA,MEDICINA PREVENTIVA Y SALUD PÚBLICA,VALENCIA,2
845,UDMPYSP DEL H. DR. PESET DE VALENCIA,VALENCIA,MEDICINA PREVENTIVA Y SALUD PÚBLICA,VALENCIA,2
846,UDMPYSP DEL H. GENERAL UNIVERSITARIO DE ALICANTE,VALENCIA,MEDICINA PREVENTIVA Y SALUD PÚBLICA,ALICANTE,2
847,UDMPYSP DEL H. GENERAL UNIVERSITARIO DE ELCHE,VALENCIA,MEDICINA PREVENTIVA Y SALUD PÚBLICA,ELCHE,2
848,UDMPYSP DEL H. GRAL UNIVERSITARIO DE VALENCIA,VALENCIA,MEDICINA PREVENTIVA Y SALUD PÚBLICA,VALENCIA,2
849,UDMPYSP DEL H. UNIVERSITARI SANT JOAN DE ALICANTE,VALENCIA,MEDICINA PREVENTIVA Y SALUD PÚBLICA,SANT JOAN DE ALICANTE,2
850,C. H. DOCTOR NEGRÍN,CANARIAS,ALERGOLOGÍA,LAS PALMAS DE GRAN CANARIA,1
851,C. H. DOCTOR NEGRÍN,CANARIAS,ANÁLISIS CLÍNICOS,LAS PALMAS DE GRAN CANARIA,2
852,C. H. DOCTOR NEGRÍN,CANARIAS,ANATOMÍA PATOLÓGICA,LAS PALMAS DE GRAN CANARIA,1
853,C. H. DOCTOR NEGRÍN,CANARIAS,ANESTESIOLOGÍA Y REANIMACIÓN,LAS PALMAS DE GRAN CANARIA,4
854,C. H. DOCTOR NEGRÍN,CANARIAS,ANGIOLOGÍA Y CIRUGÍA VASCULAR,LAS PALMAS DE GRAN CANARIA,1
855,C. H. DOCTOR NEGRÍN,CANARIAS,APARATO DIGESTIVO,LAS PALMAS DE GRAN CANARIA,1
856,C. H. DOCTOR NEGRÍN,CANARIAS,CARDIOLOGÍA,LAS PALMAS DE GRAN CANARIA,3
